gid,x,y,z
2,8176.5600598,3510.3659678,9620.2109388
11,8767.5800788,3322.6357428,9453.1611338
29,8276.5703128,3423.1237798,9600.0712898
38,8638.7998058,3267.3317878,9646.1513678
62,7930.2998058,3831.0571298,9531.3613288
83,8136.1699228,3587.7678228,9658.0009778
91,8180.8398448,3628.7658698,9644.4111338
94,8240.4199228,3482.7739268,9703.7714848
148,7911.7397468,3793.0375988,9580.3808598
152,8802.7001958,3169.6499028,9659.9511728
160,8816.7294928,3299.6047368,9451.2216808
194,8474.7900398,3202.9868168,9605.4912118
206,7965.7998058,3390.1059578,9620.0214848
241,8457.4794928,3320.0288098,9752.9912118
256,8738.7500008,3418.0187998,9695.6015628
329,8165.7797858,3503.6777348,9625.2011728
331,8282.0000008,3325.9008798,9575.6611338
340,8628.1103528,3266.5368658,9659.2216808
369,8119.0600598,3620.1437998,9633.1816418
406,8170.5000008,3434.6027838,9579.1308598
425,7894.9599618,3611.1667488,9445.9912118
450,8713.1201178,3319.1247568,9763.4814458
457,8783.7402348,3211.6347668,9521.9414068
461,8334.2597668,3209.8188488,9652.4208988
463,8279.2500008,3564.0549328,9680.7216808
481,8434.0800788,3375.3559578,9746.9316418
484,8335.4199228,3334.0588388,9668.6611338
492,8584.6396488,3208.4687508,9650.5712898
504,8166.4697278,3503.1699228,9635.6210948
550,8131.3999028,3398.4157718,9554.6513678
564,8152.8701178,3440.4929208,9619.5410168
580,8231.5595708,3529.7138678,9674.9716808
596,8766.2802738,3246.4538578,9491.8115238
601,7997.9799808,3795.8405768,9533.9716808
603,8446.6796888,3268.0979008,9626.8515628
607,8256.9697278,3572.4609388,9657.5810558
632,7888.7597668,3660.8979498,9460.0712898
639,8801.9794928,3311.0507818,9576.7109388
642,8483.9296888,3268.6257328,9680.9912118
666,8783.4199228,3394.3808598,9538.4716808
694,8948.6103528,3106.9648448,9636.4609388
703,8150.8398448,3497.9567878,9623.4414068
713,8577.2500008,3351.4448248,9770.5917978
730,8395.2001958,3420.7678228,9698.9013678
733,8880.2402348,3222.1867688,9537.0810558
756,9008.9199228,3126.7968758,9541.9316418
