gid,x,y,z
15,8327.6201178,4934.0297858,9593.5117198
23,8532.7402348,4360.0249028,9846.8613288
30,8544.4794928,4386.0468758,9735.6113288
41,8526.2597668,3021.5178228,9611.1914068
50,7615.8999028,1540.2799078,7549.8413098
70,8355.3300788,4982.6396488,9648.7617198
75,8520.1494148,2988.2578128,9603.4208988
97,7623.6499028,1544.9498298,7529.0014658
99,8409.3896488,4587.7949228,9706.0214848
102,7467.2006848,1504.9198008,7131.4311528
115,8130.5600598,1958.2698978,8583.4414068
126,7363.5000008,1634.7198498,6859.0112308
143,7867.8500988,1563.5397958,7885.4614268
144,8589.9394538,4088.5727548,9803.4316418
155,8521.5996098,3738.0092778,9773.5615238
161,8396.6103528,2570.1699228,9240.7412118
172,8364.3994148,2530.5998548,9208.4111338
179,8508.8798838,4371.1508798,9700.9511728
186,8584.9794928,3598.5588388,9798.7109388
194,8474.7900398,3202.9868168,9605.4912118
203,7997.5498058,1784.2897958,8265.2714848
208,7916.7500008,5423.6396488,8769.1513678
227,8139.7797858,1983.0898448,8587.3417978
237,7832.0498058,1648.3698738,8001.5712898
244,8117.4399418,2075.9199228,8597.6416028
248,8160.1997078,2027.4998788,8683.2011728
260,7589.6298838,1523.8598638,7375.7915048
261,8033.2500008,5246.1997078,9064.6611338
263,8405.4101568,4805.4838878,9678.2617198
270,8407.4296888,4672.6499028,9675.1015628
282,8209.8300788,5130.2299808,9321.5712898
283,7938.7500008,1631.7498788,8021.1215828
291,8013.7597668,5367.0498058,8996.8212898
311,8437.9501958,4801.7646488,9664.6416028
314,8453.5498058,4776.1020518,9766.6914068
322,8288.9199228,2174.0898448,8908.8613288
323,8116.7700208,4896.7299808,9059.0712898
327,8124.4799808,5094.4296888,9081.4414068
328,8441.8398448,2779.2497568,9400.6308598
333,8252.6201178,2346.6799328,8921.9414068
334,8481.6396488,4749.3779308,9694.1611338
357,8009.2197278,5136.6396488,8951.4414068
368,8222.2900398,2206.8398448,8894.5410168
372,8150.1796888,1988.2998058,8667.2109388
379,8175.2299808,2027.3498548,8622.4414068
381,8111.5898448,5049.9199228,9138.5517588
417,7941.4897468,5484.0698248,8776.0517588
419,7327.7958988,1528.1599128,6947.3413098
421,7369.7241218,1608.3898938,6908.7412118
422,7080.0791028,1886.6798108,6349.5083018
427,8331.4394538,5225.9497078,9451.8115238
438,7943.3398448,5318.0996098,8786.7011728
442,7277.5058598,1637.5598148,6815.7314458
444,8470.3095708,4726.8647468,9645.9208988
446,8532.1494148,2919.6667488,9523.6708988
448,7990.4897468,5201.8696298,8940.5009778
452,8224.2597668,5214.6196298,9247.6210948
459,8208.7294928,5134.5800788,9294.8916028
464,8177.7597668,1985.4698498,8612.3808598
465,7981.3398448,1690.5498058,8108.2714848
490,8409.9697278,2571.1098638,9243.9316418
492,8584.6396488,3208.4687508,9650.5712898
496,8453.0595708,4342.4130868,9764.1113288
501,8606.4902348,3977.3837898,9895.7617198
509,8101.8100598,5115.3496098,9125.8115238
521,8241.3896488,2250.9099128,8940.0917978
531,8134.3100598,4892.9897468,9167.7509778
536,8581.0097668,4155.8627938,9828.7714848
543,8235.1494148,2236.4099128,8943.3017588
553,8298.5400398,5259.6298838,9413.3310558
555,8568.3798838,3513.1188968,9806.8017588
560,8063.3896488,5356.4697278,9104.2714848
566,8597.1894538,2963.0698248,9621.7509778
577,8178.1098638,5129.8896488,9215.1708988
587,8427.7900398,2552.0998548,9188.1416028
598,7567.0297858,1546.7198498,7235.5815438
618,7649.5097668,1618.0498058,7559.2011728
620,8060.8896488,5274.5996098,9044.9111338
622,8583.2900398,3153.9367688,9612.2812508
626,8129.2099618,1975.7897958,8575.5517588
662,8404.5195318,2338.6298838,9126.3115238
665,7863.7797858,1602.8398448,8009.5815438
671,8343.0898448,4981.7397468,9497.9912118
672,8444.9101568,2486.1799328,9205.8613288
677,8097.3500988,5335.8496098,9073.3417978
680,8320.9794928,5112.9296888,9442.3710948
681,8411.0400398,5042.6796888,9613.7812508
682,8486.1298838,4418.8779308,9772.7617198
684,7367.1997078,1550.9298108,7031.1113288
687,8140.7500008,1959.0397958,8685.3916028
692,7118.6977548,1861.9498298,6435.4653328
695,8296.5000008,5156.8496098,9498.5517588
697,8389.4394538,2620.5097668,9271.6708988
710,7950.0498058,1729.4698498,8181.4013678
713,8577.2500008,3351.4448248,9770.5917978
723,8153.7299808,5165.0000008,9139.7910168
734,7568.6596688,1543.9698498,7318.9213878
740,8366.5996098,2542.7697758,9225.0410168
742,8199.7597668,2059.5698248,8832.4912118
757,8442.4101568,2797.7099618,9458.4912118
768,8532.7402348,2947.5869148,9595.9511728
794,8432.8095708,2598.4699718,9262.7314458
800,8324.4394538,5171.0000008,9574.8710948
802,8282.5703128,2099.5297858,8790.5410168
809,8576.0302738,3467.4558118,9753.5917978
820,8026.7797858,5451.7597668,8881.1308598
841,8434.6103528,4861.7797858,9710.9511728
848,8389.4296888,2477.3098148,9193.5917978
860,7459.4951178,1624.3598638,7021.8813488
867,7269.8027348,1631.0397958,6815.1665048
873,8618.9697278,3281.4599618,9699.1416028
894,8511.2695318,2990.3408208,9563.2412118
895,8350.0898448,5180.3696298,9538.8613288
907,8101.6596688,5286.1298838,9061.7509778
911,8351.1298838,4937.0297858,9564.4316418
924,8273.8496098,2272.2497568,9006.7412118
941,7827.6000988,1592.1898198,7971.2714848
961,8448.4501958,4762.3710948,9814.7617198
966,7962.5498058,5409.5996098,8729.5517588
1007,8467.2597668,3124.3828128,9555.9716808
1011,7949.5097668,1717.2598888,8146.8715828
1021,8395.1201178,5172.6796888,9608.9912118
1023,8173.3798838,5147.5498058,9278.6015628
1029,8298.3994148,5153.9897468,9561.1708988
1035,8466.4394538,2668.6599128,9387.4111338
1038,8537.2998058,4489.4018558,9843.0712898
1045,8234.0498058,5106.8598638,9356.0615238
1048,7989.7797858,5285.6899418,8883.9013678
1050,8205.0996098,5136.3496098,9301.8310558
1051,8469.1201178,3014.4719248,9540.7412118
1056,8034.7099618,5287.4296888,8948.9716808
1058,7992.1596688,5170.2500008,8832.4814458
1063,8005.1396488,5339.0200208,8843.1611338
1088,8571.8603528,3246.4958508,9739.3613288
1093,7246.9057628,1626.3498548,6789.3344738
1121,7347.2817388,1580.9198008,6895.5312508
1128,8374.2001958,4785.6137708,9655.1708988
1131,8196.4101568,5269.2797858,9229.5410168
1161,8396.1894538,2479.4797368,9210.3808598
1177,8106.0698248,5048.3398448,9142.4414068
1179,7594.8500988,1508.9498298,7379.0312508
1180,8504.7500008,3821.9030768,9731.8310558
1181,8227.6601568,2207.0598148,8852.8417978
